activation_id,process_id,process_name,scenario_id,activation_condition,evidence_strength_required,source_document_types,site_verification_required,confirmation_questions,photo_points,confidence,runtime_status,final_state,runtime_integration
ACT11_spraying_coating__SCN_VOCS_SOLVENT_AND_TREATMENT,spraying_coating,喷涂/涂装/涂布,SCN_VOCS_SOLVENT_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：喷涂/涂装/涂布,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评工艺流程；废气章节；原辅料MSDS；废气治理设施；危废台账,喷涂/调漆工位；烘干室；集气罩；治理设施；废过滤棉/废活性炭暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_spraying_coating__SCN_HAZWASTE_STORAGE_TRANSFER,spraying_coating,喷涂/涂装/涂布,SCN_HAZWASTE_STORAGE_TRANSFER,环评/批复/排污许可/台账/现场证据直接确认存在：喷涂/涂装/涂布,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评工艺流程；废气章节；原辅料MSDS；废气治理设施；危废台账,喷涂/调漆工位；烘干室；集气罩；治理设施；废过滤棉/废活性炭暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_spraying_coating__SCN_RAINWATER_ACCIDENT_EMERGENCY,spraying_coating,喷涂/涂装/涂布,SCN_RAINWATER_ACCIDENT_EMERGENCY,环评/批复/排污许可/台账/现场证据直接确认存在：喷涂/涂装/涂布,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评工艺流程；废气章节；原辅料MSDS；废气治理设施；危废台账,喷涂/调漆工位；烘干室；集气罩；治理设施；废过滤棉/废活性炭暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_electroplating_acid_pickling__SCN_WW_PROCESS_AND_TREATMENT,electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,SCN_WW_PROCESS_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：电镀/酸洗/磷化/表面处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_electroplating_acid_pickling__SCN_HAZWASTE_STORAGE_TRANSFER,electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,SCN_HAZWASTE_STORAGE_TRANSFER,环评/批复/排污许可/台账/现场证据直接确认存在：电镀/酸洗/磷化/表面处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_electroplating_acid_pickling__SCN_RAINWATER_ACCIDENT_EMERGENCY,electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,SCN_RAINWATER_ACCIDENT_EMERGENCY,环评/批复/排污许可/台账/现场证据直接确认存在：电镀/酸洗/磷化/表面处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_electroplating_acid_pickling__SCN_CHEMICAL_TANK_LDAR_SEEPAGE,electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,环评/批复/排污许可/台账/现场证据直接确认存在：电镀/酸洗/磷化/表面处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_fermentation_distillation__SCN_WW_PROCESS_AND_TREATMENT,fermentation_distillation,发酵/蒸馏/酒类酿造,SCN_WW_PROCESS_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：发酵/蒸馏/酒类酿造,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评生产工艺；发酵/蒸馏设备清单；废水章节；固废/酒糟去向；产能证明,发酵罐；蒸馏设备；清洗点；污水站；酒糟/一般固废暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_fermentation_distillation__SCN_RAINWATER_ACCIDENT_EMERGENCY,fermentation_distillation,发酵/蒸馏/酒类酿造,SCN_RAINWATER_ACCIDENT_EMERGENCY,环评/批复/排污许可/台账/现场证据直接确认存在：发酵/蒸馏/酒类酿造,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评生产工艺；发酵/蒸馏设备清单；废水章节；固废/酒糟去向；产能证明,发酵罐；蒸馏设备；清洗点；污水站；酒糟/一般固废暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_fermentation_distillation__SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,fermentation_distillation,发酵/蒸馏/酒类酿造,SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,环评/批复/排污许可/台账/现场证据直接确认存在：发酵/蒸馏/酒类酿造,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评生产工艺；发酵/蒸馏设备清单；废水章节；固废/酒糟去向；产能证明,发酵罐；蒸馏设备；清洗点；污水站；酒糟/一般固废暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_printing_gluing__SCN_VOCS_SOLVENT_AND_TREATMENT,printing_gluing,印刷/粘合/覆膜,SCN_VOCS_SOLVENT_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：印刷/粘合/覆膜,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评印刷工艺；油墨/MSDS；废气治理；洗版/清洗废水说明；危废台账,印刷机；油墨/胶黏剂标签；集气罩；废气治理设施；洗版/清洗点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_printing_gluing__SCN_HAZWASTE_STORAGE_TRANSFER,printing_gluing,印刷/粘合/覆膜,SCN_HAZWASTE_STORAGE_TRANSFER,环评/批复/排污许可/台账/现场证据直接确认存在：印刷/粘合/覆膜,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评印刷工艺；油墨/MSDS；废气治理；洗版/清洗废水说明；危废台账,印刷机；油墨/胶黏剂标签；集气罩；废气治理设施；洗版/清洗点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_printing_gluing__SCN_WW_PROCESS_AND_TREATMENT,printing_gluing,印刷/粘合/覆膜,SCN_WW_PROCESS_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：印刷/粘合/覆膜,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,环评印刷工艺；油墨/MSDS；废气治理；洗版/清洗废水说明；危废台账,印刷机；油墨/胶黏剂标签；集气罩；废气治理设施；洗版/清洗点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_boiler_combustion__SCN_DUST_PARTICULATE_CONTROL,boiler_combustion,锅炉/燃烧供热,SCN_DUST_PARTICULATE_CONTROL,环评/批复/排污许可/台账/现场证据直接确认存在：锅炉/燃烧供热,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,锅炉登记证；铭牌；燃料类型；额定蒸发量；废气排口；监测报告,锅炉铭牌；燃料供应点；排气筒；废气治理设施；运行记录,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_boiler_combustion__SCN_ONLINE_MONITORING_KEY_UNIT,boiler_combustion,锅炉/燃烧供热,SCN_ONLINE_MONITORING_KEY_UNIT,环评/批复/排污许可/台账/现场证据直接确认存在：锅炉/燃烧供热,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,锅炉登记证；铭牌；燃料类型；额定蒸发量；废气排口；监测报告,锅炉铭牌；燃料供应点；排气筒；废气治理设施；运行记录,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_boiler_combustion__SCN_RAINWATER_ACCIDENT_EMERGENCY,boiler_combustion,锅炉/燃烧供热,SCN_RAINWATER_ACCIDENT_EMERGENCY,环评/批复/排污许可/台账/现场证据直接确认存在：锅炉/燃烧供热,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,锅炉登记证；铭牌；燃料类型；额定蒸发量；废气排口；监测报告,锅炉铭牌；燃料供应点；排气筒；废气治理设施；运行记录,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_wastewater_treatment_station__SCN_WW_PROCESS_AND_TREATMENT,wastewater_treatment_station,污水处理站/废水预处理,SCN_WW_PROCESS_AND_TREATMENT,环评/批复/排污许可/台账/现场证据直接确认存在：污水处理站/废水预处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,污水站工艺流程；排水去向；运行台账；污泥去向；排口信息,污水站全景；关键处理单元；总排口；在线监测设备；污泥暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
ACT11_wastewater_treatment_station__SCN_ONLINE_MONITORING_KEY_UNIT,wastewater_treatment_station,污水处理站/废水预处理,SCN_ONLINE_MONITORING_KEY_UNIT,环评/批复/排污许可/台账/现场证据直接确认存在：污水处理站/废水预处理,DIRECT,EIA;APPROVAL;PERMIT;LEDGER;SITE,true,污水站工艺流程；排水去向；运行台账；污泥去向；排口信息,污水站全景；关键处理单元；总排口；在线监测设备；污泥暂存点,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
