link_id,baseline_entry_id,source_id,source_doc_title,source_standard_no_canonical,domain,source_role,link_type,target_kind,target_id,target_label,mapping_method,mapping_confidence,evidence_text,content_usability_flag,content_gate_status,human_review_label,gate_status,runtime_status,final_state,runtime_integration,candidate_only,radiation_all_industry_default_blocked,source_hash
PSL-V8_6-00001,PDB-V8_5-0001,PDS-V8_0-0001,中华人民共和国噪声污染防治法,STANDARD_NO_PENDING_FROM_TITLE_OR_FRONTMATTER,noise,SUPPORTING_REGULATION_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,db40c65923eafa177d9482650e4b37fa289766f0a7c2bca455cc41982ba4ae55
PSL-V8_6-00002,PDB-V8_5-0001,PDS-V8_0-0001,中华人民共和国噪声污染防治法,STANDARD_NO_PENDING_FROM_TITLE_OR_FRONTMATTER,noise,SUPPORTING_REGULATION_SOURCE,STANDARD_REFERENCE_CONTEXT,SCENARIO,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=SUPPORTING_REGULATION_SOURCE; title=中华人民共和国噪声污染防治法,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,db40c65923eafa177d9482650e4b37fa289766f0a7c2bca455cc41982ba4ae55
PSL-V8_6-00003,PDB-V8_5-0001,PDS-V8_0-0001,中华人民共和国噪声污染防治法,STANDARD_NO_PENDING_FROM_TITLE_OR_FRONTMATTER,noise,SUPPORTING_REGULATION_SOURCE,STANDARD_REFERENCE_CONTEXT,SCENARIO,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=SUPPORTING_REGULATION_SOURCE; title=中华人民共和国噪声污染防治法,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,db40c65923eafa177d9482650e4b37fa289766f0a7c2bca455cc41982ba4ae55
PSL-V8_6-00004,PDB-V8_5-0001,PDS-V8_0-0001,中华人民共和国噪声污染防治法,STANDARD_NO_PENDING_FROM_TITLE_OR_FRONTMATTER,noise,SUPPORTING_REGULATION_SOURCE,STANDARD_REFERENCE_CONTEXT,SCENARIO,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=SUPPORTING_REGULATION_SOURCE; title=中华人民共和国噪声污染防治法,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,db40c65923eafa177d9482650e4b37fa289766f0a7c2bca455cc41982ba4ae55
PSL-V8_6-00005,PDB-V8_5-0001,PDS-V8_0-0001,中华人民共和国噪声污染防治法,STANDARD_NO_PENDING_FROM_TITLE_OR_FRONTMATTER,noise,SUPPORTING_REGULATION_SOURCE,STANDARD_REFERENCE_CONTEXT,SCENARIO,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=SUPPORTING_REGULATION_SOURCE; title=中华人民共和国噪声污染防治法,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,db40c65923eafa177d9482650e4b37fa289766f0a7c2bca455cc41982ba4ae55
PSL-V8_6-00006,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_IN_DOMAIN,DOMAIN,noise,noise,DOMAIN_CLASSIFICATION,HIGH,V8.5 domain=noise,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,N/A,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00007,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,工业企业噪声源与厂界噪声控制,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00008,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,厂界噪声监测、执行标准与台账,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00009,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_NOISE_SENSITIVE_RECEPTOR_NIGHT_OPERATION,夜间生产、敏感点与噪声投诉风险,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
PSL-V8_6-00010,PDB-V8_5-0002,PDS-V8_0-0002,城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,HJ 2055-2018,noise,TREATMENT_TECHNICAL_SPEC_SOURCE,STANDARD_SPECIFIES_TREATMENT,SCENARIO,SCN_SOCIAL_LIFE_NOISE_SOURCE,社会生活噪声与经营活动噪声源,DOMAIN_MEDIA_SEED,LOW,domain=noise; role=TREATMENT_TECHNICAL_SPEC_SOURCE; title=城市轨道交通环境振动与噪声控制工程技术规范 HJ 2055-2018,TITLE_LEVEL_AND_SOURCE_LOCK_READY,TITLE_LEVEL_LINK_ONLY,,NEED_SCENARIO_CONFIRM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,TRUE,FALSE,83c2b3c90530aeec56117be162b5dd9be863862cb5347d4f121ee351e1ddcfdd
