rule_id,process_id,scenario_id,activation_condition,negative_condition,evidence_strength_required,evidence_chain,photo_points,score13_hint,open_question_refs,rule_effect,confidence,runtime_status,final_state,runtime_integration
RULE13_SPRAYING_VOCS,spraying_coating,SCN_VOCS_SOLVENT_AND_TREATMENT,喷涂/调漆/烘干 + 集气或治理设施文本命中,无喷涂;外协喷涂;仅外购涂装件,DIRECT_OR_PERMIT_DOCUMENTED,原辅料MSDS;采购或领用台账;废气治理设施运行记录;活性炭更换记录;废气监测报告,含VOCs物料包装标签和MSDS关键页;调配/转移/使用点位密闭状态;集气罩或密闭间;治理设施全景和铭牌;废活性炭/废过滤棉暂存状态,S10;S06;S07,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_SPRAYING_HAZWASTE,spraying_coating,SCN_HAZWASTE_STORAGE_TRANSFER,喷涂使用油漆/溶剂/活性炭并产生废过滤棉、废活性炭或废包装,水性材料且无危废仍需危废代码确认,DIRECT_OR_PERMIT_DOCUMENTED,MSDS;危废台账;危废间照片;转移联单,MSDS;危废台账;危废间照片;转移联单,S07;S02;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PICKLING_WASTEWATER,electroplating_acid_pickling,SCN_WW_PROCESS_AND_TREATMENT,电镀/酸洗/磷化/氧化槽体 + 清洗废水或槽液更换,不设置槽体;表面处理全外协,DIRECT_OR_PERMIT_DOCUMENTED,排水去向证明;污水站工艺流程图;运行台账;监测报告;排口信息,废水产生工位或清洗点;污水站全景;关键处理单元和设备铭牌;废水总排口/接管口;在线监测设备、数采仪和联网状态屏,S10;S06;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PICKLING_CHEMICAL,electroplating_acid_pickling,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,酸碱/药剂储槽、槽液或液态化学品库存在,无槽体;无液态化学品储存,DIRECT_OR_PERMIT_DOCUMENTED,储罐清单;平面布置图;LDAR检测记录;防渗验收或照片;围堰/事故池资料,罐区全景和物料标识;围堰、防渗地面和雨水切换阀;泵阀法兰密封点;装卸区截流/收集设施;LDAR记录或检测设备读数,S13;S04;S09,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_BAIJIU_WASTEWATER,fermentation_distillation,SCN_WW_PROCESS_AND_TREATMENT,发酵/蒸馏/清洗 + 生产废水进入厂区污水站,仅勾兑分装且无生产废水,DIRECT_OR_PERMIT_DOCUMENTED,工艺流程;污水站;排口;运行台账,工艺流程;污水站;排口;运行台账,S10;S06;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PRINTING_VOCS,printing_gluing,SCN_VOCS_SOLVENT_AND_TREATMENT,印刷/粘合/覆膜 + 油墨/胶黏剂/VOCs废气,外协印刷;仅裁切;无油墨胶黏剂,DIRECT_OR_PERMIT_DOCUMENTED,原辅料MSDS;采购或领用台账;废气治理设施运行记录;活性炭更换记录;废气监测报告,含VOCs物料包装标签和MSDS关键页;调配/转移/使用点位密闭状态;集气罩或密闭间;治理设施全景和铭牌;废活性炭/废过滤棉暂存状态,S10;S06;S07,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_BOILER_EXHAUST,boiler_combustion,SCN_DUST_PARTICULATE_CONTROL,锅炉/燃烧设备 + 燃料类型 + 排气筒,电加热;外供蒸汽;仅生活热水,DIRECT_OR_PERMIT_DOCUMENTED,工艺流程图;除尘设施运行台账;颗粒物监测报告;在线监测联网证明,破碎/粉磨/筛分点位;输送转运和落料点;袋式除尘器全景和铭牌;堆场围挡/喷淋/苫盖;在线监测设备或颗粒物排口,S10;S06;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_WW_STATION_SLUDGE,wastewater_treatment_station,SCN_HAZWASTE_STORAGE_TRANSFER,污水站 + 污泥/浮渣/废药剂包装产生,仅生活污水接管且无处理设施,DIRECT_OR_PERMIT_DOCUMENTED,危废合同;转移联单;危废台账;暂存间标识;MSDS,危废暂存间门口标识;分区、通道、防渗地面和围挡;危废标签和容器状态;吸附堵漏物资;转移联单编号和台账最近记录,S07;S10;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_MEDICAL_WASTE,medical_wastewater_waste_radiation,SCN_MEDICAL_WASTE_RADIATION,医疗机构 + 医废暂存/医疗污水/放射诊疗任一事实,无诊疗;无床位;无医废;无放射设备,DIRECT_OR_PERMIT_DOCUMENTED,医疗机构执业许可证;床位证明;医废合同和转移联单;放射诊疗许可证或设备清单;污水站运行台账,医疗机构证照关键页;医废暂存间门口和内部分类包装;医废交接/消毒记录;放射诊疗设备和警示标识;医院污水站和消毒设施,S07;S12;S06;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_LAB_WASTE,laboratory_waste_liquid,NEW_SCN_LAB_WASTE_CANDIDATE,实验室/化验室/检测试剂与实验废液或废试剂瓶证据命中,委外检测;无实验室;不产生实验废液,DIRECT_OR_PERMIT_DOCUMENTED,实验室平面图或环评实验室章节;试剂清单和废液产生记录;废液收集桶标签和危废代码;危废台账、合同、转移联单或去向证明;应急吸附物资和泄漏处置记录,实验室操作台和试剂柜;废液桶标签和分类收集区域;危废暂存间实验废液分区;危废台账或转移联单关键页;应急吸附物资,S07;S13;S09,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
