question_id,topic,question,blocking_level,status,source_basis,runtime_status
OQ-001,GB4754_CODE_NAME_CONFLICT,,BLOCKS_RUNTIME,OPEN,2017国民经济行业分类注释.xlsx 行1777/1787,DRAFT_NOT_FOR_RUNTIME
OQ-002,REPRESENTATIVE_SUBCLASS_SCOPE,,BLOCKS_RUNTIME,OPEN,2017国民经济行业分类注释.xlsx；固定污染源排污许可分类管理名录(2019年版)第22条,DRAFT_NOT_FOR_RUNTIME
OQ-003,REPRESENTATIVE_SUBCLASS_SCOPE,,BLOCKS_RUNTIME,OPEN,2017国民经济行业分类注释.xlsx；固定污染源排污许可分类管理名录(2019年版)第36条,DRAFT_NOT_FOR_RUNTIME
OQ-004,REPRESENTATIVE_SUBCLASS_SCOPE,,BLOCKS_RUNTIME,OPEN,2017国民经济行业分类注释.xlsx；固定污染源排污许可分类管理名录(2019年版)第38条,DRAFT_NOT_FOR_RUNTIME
OQ-005,GENERAL_PROCESS_TRIGGER,,BLOCKS_RUNTIME,OPEN,固定污染源排污许可分类管理名录(2019年版)第15条,DRAFT_NOT_FOR_RUNTIME
OQ-006,GENERAL_PROCESS_TRIGGER,,BLOCKS_RUNTIME,OPEN,固定污染源排污许可分类管理名录(2019年版)第80条,DRAFT_NOT_FOR_RUNTIME
OQ-007,TEMPLATE_SECTION_CANDIDATES,,BLOCKS_RUNTIME,OPEN,用户确认：知识库v0.1样板，不直接接入运行时。,DRAFT_NOT_FOR_RUNTIME
V03_CONTEXT_SCOPE_001,v0.3_governance,DIVISION_CONTEXT条目-小类适用关系需要人工审阅后才能从MAY_APPLY/NEED_EIA升级。,BLOCKS_RUNTIME,OPEN,v0.3 AFK governance pass,DRAFT_NOT_FOR_RUNTIME
V03_PERMIT_TYPE_001,v0.3_governance,所有target_management_condition只代表名录单元格类型，不得作为企业正式permit_type。,BLOCKS_RUNTIME,OPEN,v0.3 AFK governance pass,DRAFT_NOT_FOR_RUNTIME
V03_GENERAL_PROCESS_001,v0.3_governance,109-112通用工序触发需依据企业锅炉、炉窑、表面处理、水处理事实确认。,BLOCKS_RUNTIME,OPEN,v0.3 AFK governance pass,DRAFT_NOT_FOR_RUNTIME
V03_SCENARIO_TEMPLATE_001,v0.3_governance,尾矿库、餐饮油烟、实验室废液、垃圾焚烧/填埋等是否需要新增场景模板，需后续业务评审。,BLOCKS_RUNTIME,OPEN,v0.3 AFK governance pass,DRAFT_NOT_FOR_RUNTIME
V03_ECOCHECK_RUNTIME_001,v0.3_governance,候选排查项不得接EcoCheck运行时，需模板章节和扣分口径专项审批。,BLOCKS_RUNTIME,OPEN,v0.3 AFK governance pass,DRAFT_NOT_FOR_RUNTIME
