candidate_rule_id,industry_code,industry_name,division_code,division_name,group_code,group_name,permit_type,scenario_template_ids,unknown_scenarios,source_basis,confidence,confirmation_questions,runtime_status,notes
BATCH1_GB4754_1311,1311,稻谷加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1312,1312,小麦加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1313,1313,玉米加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1314,1314,杂粮加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1319,1319,其他谷物磨制,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1321,1321,宠物饲料加工,13,农副食品加工业,132,饲料加工,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1329,1329,其他饲料加工,13,农副食品加工业,132,饲料加工,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1331,1331,食用植物油加工,13,农副食品加工业,133,植物油加工,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1332,1332,非食用植物油加工,13,农副食品加工业,133,植物油加工,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
BATCH1_GB4754_1340,1340,制糖业,13,农副食品加工业,134,制糖业,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]","[""GB/T 4754-2017"", ""2019名录第9-16条，农副食品加工业多按产能、发酵、通用工序或是否工业建筑生产触发。""]",MEDIUM,"[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？""]",CANDIDATE_ONLY,Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
