scenario_id,scenario_name,inspection_type,candidate_section,candidate_subsection,risk_or_hidden_danger_point,evidence_chain,photo_points,applicable_when,not_applicable_when,confirmation_questions,answer_policy,default_severity,default_deduct,runtime_status
SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,FIRST,KNOWLEDGE_CROSS_MEDIA,通用生产经营、一般固废、噪声与基础台账,生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,厂区入口或生产区域全景；主要生产线/加工设备；一般固废暂存点全景和标识；高噪声设备及隔声/减振措施；台账封面和最近记录页,存在实际生产、加工、分装、清洗、粉磨、印刷、诊疗或经营活动；现有31条规则均默认存在生产经营活动和一般固废画像,仅办公、仓储、贸易且无实际产污活动；现场确认无一般固废、无主要噪声源时可降级为不适用,是否有实际生产/加工/分装/清洗/粉磨/印刷等活动？；一般固废种类和去向是什么？；是否有主要噪声设备？；是否建立固废/危废/医废台账？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,MONTHLY,KNOWLEDGE_CROSS_MEDIA,通用生产经营、一般固废、噪声与基础台账,生产活动与手续不一致；一般固废/噪声/台账证据不足；现场事实需确认,营业执照或医疗机构执业许可证；环评/批复/排污许可或登记回执；生产设备清单；一般固废合同或台账；厂区平面图,厂区入口或生产区域全景；主要生产线/加工设备；一般固废暂存点全景和标识；高噪声设备及隔声/减振措施；台账封面和最近记录页,存在实际生产、加工、分装、清洗、粉磨、印刷、诊疗或经营活动；现有31条规则均默认存在生产经营活动和一般固废画像,仅办公、仓储、贸易且无实际产污活动；现场确认无一般固废、无主要噪声源时可降级为不适用,是否有实际生产/加工/分装/清洗/粉磨/印刷等活动？；一般固废种类和去向是什么？；是否有主要噪声设备？；是否建立固废/危废/医废台账？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,FIRST,KNOWLEDGE_WASTEWATER,生产/医疗/清洗废水与污水处理设施,废水来源不清；污水站停运或绕排；排口/接管证据缺失,排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,废水产生工位或清洗点；污水站全景；关键处理单元和设备铭牌；废水总排口/接管口；在线监测设备、数采仪和联网状态屏,医疗机构、食品饮料、蔬菜加工、制浆造纸、涂料重点管理、人造革合成革等可能产生废水；重点管理或高水量场景优先确认污水站和在线监测,无湿法工序、无清洗废水、无医疗废水；仅生活污水且接管市政并无预处理管理要求,是否产生生产废水/清洗废水/医疗废水？；是否自建污水处理站或仅预处理后接管？；污水处理工艺是什么？；是否有废水在线监测？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,MONTHLY,KNOWLEDGE_WASTEWATER,生产/医疗/清洗废水与污水处理设施,废水来源不清；污水站停运或绕排；排口/接管证据缺失,排水去向证明；污水站工艺流程图；运行台账；监测报告；排口信息；在线监测联网证明,废水产生工位或清洗点；污水站全景；关键处理单元和设备铭牌；废水总排口/接管口；在线监测设备、数采仪和联网状态屏,医疗机构、食品饮料、蔬菜加工、制浆造纸、涂料重点管理、人造革合成革等可能产生废水；重点管理或高水量场景优先确认污水站和在线监测,无湿法工序、无清洗废水、无医疗废水；仅生活污水且接管市政并无预处理管理要求,是否产生生产废水/清洗废水/医疗废水？；是否自建污水处理站或仅预处理后接管？；污水处理工艺是什么？；是否有废水在线监测？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,FIRST,KNOWLEDGE_EXHAUST,VOCs溶剂使用、无组织排放与废气治理,VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,含VOCs物料包装标签和MSDS关键页；调配/转移/使用点位密闭状态；集气罩或密闭间；治理设施全景和铭牌；废活性炭/废过滤棉暂存状态,使用油墨、涂料、胶黏剂、清洗剂、溶剂或发泡剂；存在喷涂、涂布、调配、加热、溶剂清洗或有机废气治理设施,全水性低VOCs原辅料且无加热、喷涂、涂布、溶剂清洗；仅登记小规模时不得默认排除，应保留UNKNOWN确认,使用油墨/涂料/胶黏剂/清洗剂类型和年用量？；是否有密闭收集和治理设施？；是否产生废活性炭/废过滤棉/废包装桶？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,MONTHLY,KNOWLEDGE_EXHAUST,VOCs溶剂使用、无组织排放与废气治理,VOCs无组织逸散；废气治理设施低效；废活性炭更换证据缺失,原辅料MSDS；采购或领用台账；废气治理设施运行记录；活性炭更换记录；废气监测报告；危废台账,含VOCs物料包装标签和MSDS关键页；调配/转移/使用点位密闭状态；集气罩或密闭间；治理设施全景和铭牌；废活性炭/废过滤棉暂存状态,使用油墨、涂料、胶黏剂、清洗剂、溶剂或发泡剂；存在喷涂、涂布、调配、加热、溶剂清洗或有机废气治理设施,全水性低VOCs原辅料且无加热、喷涂、涂布、溶剂清洗；仅登记小规模时不得默认排除，应保留UNKNOWN确认,使用油墨/涂料/胶黏剂/清洗剂类型和年用量？；是否有密闭收集和治理设施？；是否产生废活性炭/废过滤棉/废包装桶？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,FIRST,KNOWLEDGE_SOLID_WASTE_RISK,危险废物识别、暂存与转移,危废识别不全；暂存间不规范；联单/台账缺失,危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,危废暂存间门口标识；分区、通道、防渗地面和围挡；危废标签和容器状态；吸附堵漏物资；转移联单编号和台账最近记录,使用危险化学品、油墨、涂料、溶剂、机油或有废气治理耗材；医疗检验试剂、加油站废机油、废包装桶等场景,无危险特性原辅料、无废气治理耗材、无机修废油且环评/许可明确不产生危废,是否产生废油墨/废溶剂/废活性炭/废包装桶/废机油？；危废代码和去向是什么？；暂存间是否防渗防雨防流失？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,MONTHLY,KNOWLEDGE_SOLID_WASTE_RISK,危险废物识别、暂存与转移,危废识别不全；暂存间不规范；联单/台账缺失,危废合同；转移联单；危废台账；暂存间标识；MSDS；环评或许可危废章节,危废暂存间门口标识；分区、通道、防渗地面和围挡；危废标签和容器状态；吸附堵漏物资；转移联单编号和台账最近记录,使用危险化学品、油墨、涂料、溶剂、机油或有废气治理耗材；医疗检验试剂、加油站废机油、废包装桶等场景,无危险特性原辅料、无废气治理耗材、无机修废油且环评/许可明确不产生危废,是否产生废油墨/废溶剂/废活性炭/废包装桶/废机油？；危废代码和去向是什么？；暂存间是否防渗防雨防流失？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,FIRST,KNOWLEDGE_MEDICAL_CROSS_MEDIA,医疗废物、医疗废水与放射诊疗确认,医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,医疗机构证照关键页；医废暂存间门口和内部分类包装；医废交接/消毒记录；放射诊疗设备和警示标识；医院污水站和消毒设施,综合医院及其他医疗机构；床位数、检验/病理科、有无放射科影响污水、VOCs、辐射、在线监测,非医疗机构；无诊疗活动的办公或咨询场所；无放射诊疗设备时辐射场景可落NO,床位数是多少？；是否设检验科/病理科并使用有机溶剂？；是否有放射科/核医学科？；医废暂存间如何管理？；污水如何处理？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,MONTHLY,KNOWLEDGE_MEDICAL_CROSS_MEDIA,医疗废物、医疗废水与放射诊疗确认,医废混入生活垃圾；医疗废水/放射诊疗边界不清；暂存和转运证据缺失,医疗机构执业许可证；床位证明；医废合同和转移联单；放射诊疗许可证或设备清单；污水站运行台账,医疗机构证照关键页；医废暂存间门口和内部分类包装；医废交接/消毒记录；放射诊疗设备和警示标识；医院污水站和消毒设施,综合医院及其他医疗机构；床位数、检验/病理科、有无放射科影响污水、VOCs、辐射、在线监测,非医疗机构；无诊疗活动的办公或咨询场所；无放射诊疗设备时辐射场景可落NO,床位数是多少？；是否设检验科/病理科并使用有机溶剂？；是否有放射科/核医学科？；医废暂存间如何管理？；污水如何处理？,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",NEED_CONFIRM,,CANDIDATE_ONLY
