industry_code,industry_name,division_code,division_name,group_code,group_name,permit_type,runtime_status,permit_backfill_status,permit_backfill_runtime_status,direct_entry_count,division_context_entry_count,condition_candidate_count,direct_entry_nos,division_context_entry_nos,permit_catalog_entry_refs_json,permit_backfill_confirmation_questions_json,scenario_template_ids_json,unknown_scenarios_json,notes
1311,稻谷加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[9],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1312,小麦加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[9],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1313,玉米加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[9],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1314,杂粮加工,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[9],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1319,其他谷物磨制,13,农副食品加工业,131,谷物磨制,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[9],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1321,宠物饲料加工,13,农副食品加工业,132,饲料加工,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[10],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1329,其他饲料加工,13,农副食品加工业,132,饲料加工,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,1,8,24,[10],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""CODE_MATCH+DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1331,食用植物油加工,13,农副食品加工业,133,植物油加工,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,0,8,24,[],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1332,非食用植物油加工,13,农副食品加工业,133,植物油加工,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,0,8,24,[],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
1340,制糖业,13,农副食品加工业,134,制糖业,NEED_CONFIRM,CANDIDATE_ONLY,DRAFT_CONDITION_BACKFILL_NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,0,8,24,[],"[9, 10, 11, 12, 13, 14, 15, 16]","[{""catalog_entry_no"": 9, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 10, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 11, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 12, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 13, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 14, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 15, ""scope"": ""DIVISION_CONTEXT""}, {""catalog_entry_no"": 16, ""scope"": ""DIVISION_CONTEXT""}]","[""是否存在实际生产、加工、清洗、发酵、蒸煮、印刷或包装等产污活动？"", ""环评、批复、排污许可或登记回执中载明的主要污染物和治理设施是什么？"", ""是否存在锅炉、工业炉窑、污水处理、表面处理等通用工序？"", ""年加工/屠宰/生产能力是多少？"", ""是否有清洗、蒸煮、屠宰、冷冻、淀粉、发酵或高浓度有机废水？"", ""是否属于回填的排污许可名录条目所列行业代码范围，且不存在贸易、研发、办公或单纯服务等不适用边界？"", ""是否满足名录条件中的产能、床位、处理能力、储罐容量、面积、锅炉吨位或其他规模阈值？"", ""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？"", ""若条件为“其他/除重点管理以外”，是否已先排除同条目的重点管理和简化管理条件？"", ""星号脚注是否适用，例如是否属于工业建筑内生产等附加条件？"", ""并列物料阈值是否确实继承左侧指标词，例如年使用或年加工能力？""]","[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER"", ""SCN_WW_PROCESS_AND_TREATMENT""]","[""SCN_RAINWATER_ACCIDENT_EMERGENCY"", ""SCN_HAZWASTE_STORAGE_TRANSFER""]",Batch1候选：农副食品废水强相关，但具体管理类别需按产能/工序确认。
