catalog_version,entry_no,target_management_condition,major_category_text,industry_category_text,gb_code_fragments,source_basis,source_pdf,source_page,source_row_index,source_table_bbox,source_row_cells_bbox,source_cell_name,raw_condition,normalized_condition,applies_status,confidence,blocking_flags,confirmation_questions,permit_type,runtime_status,negative_semantic_markers,condition_polarity,predicate_operator_summary
2019,1,KEY,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,2,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 337.19000244140625, 794.7766723632812, 360.3900146484375], [46.55999946594238, 360.3900146484375, 80.0, 388.1400146484375], [46.55999946594238, 388.1400146484375, 794.7766723632812, 408.489990234375], [46.55999946594238, 408.489990234375, 80.0, 436.239990234375], [46.55999946594238, 436.239990234375, 794.7766723632812, 456.5899963378906]]",key_management_condition,设有污水排放口的规模化畜禽养殖 场、养殖小区（具体规模化标准按《畜 禽规模养殖污染防治条例》执行）,[],APPLIES_IF_CONDITION_MET,MEDIUM,"[""need_human_normalization""]","[""请根据名录原文、环评、批复、排污许可、登记回执和现场事实确认该管理条件是否适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,1,SIMPLIFIED,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,2,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 337.19000244140625, 794.7766723632812, 360.3900146484375], [46.55999946594238, 360.3900146484375, 80.0, 388.1400146484375], [46.55999946594238, 388.1400146484375, 794.7766723632812, 408.489990234375], [46.55999946594238, 408.489990234375, 80.0, 436.239990234375], [46.55999946594238, 436.239990234375, 794.7766723632812, 456.5899963378906]]",simplified_management_condition,/,[],NOT_APPLICABLE_IN_CATALOG,HIGH,"[""catalog_cell_slash_not_applicable""]","[""该管理条件单元格为/，请确认名录原文是否确为不适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,1,REGISTRATION,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,2,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 337.19000244140625, 794.7766723632812, 360.3900146484375], [46.55999946594238, 360.3900146484375, 80.0, 388.1400146484375], [46.55999946594238, 388.1400146484375, 794.7766723632812, 408.489990234375], [46.55999946594238, 408.489990234375, 80.0, 436.239990234375], [46.55999946594238, 436.239990234375, 794.7766723632812, 456.5899963378906]]",registration_management_condition,无污水排放口的规模化畜禽养殖场、养 殖小区，设有污水排放口的规模以下畜 禽养殖场、养殖小区,[],APPLIES_IF_CONDITION_MET,MEDIUM,"[""need_human_normalization"", ""contains_negative_or_exclusion_semantics""]","[""请根据名录原文、环评、批复、排污许可、登记回执和现场事实确认该管理条件是否适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,"[""无""]",contains_exclusion_semantics,
2019,2,KEY,一、畜牧业03,其他畜牧业039,039,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,3,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 456.5899963378906, 80.0, 477.3199920654297], [80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 126.48999786376953, 264.20001220703125, 171.44000244140625], [80.0, 171.44000244140625, 264.20001220703125, 191.7899932861328], [80.0, 214.99000549316406, 264.20001220703125, 242.74000549316406]]",key_management_condition,/,[],NOT_APPLICABLE_IN_CATALOG,HIGH,"[""catalog_cell_slash_not_applicable""]","[""该管理条件单元格为/，请确认名录原文是否确为不适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,2,SIMPLIFIED,一、畜牧业03,其他畜牧业039,039,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,3,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 456.5899963378906, 80.0, 477.3199920654297], [80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 126.48999786376953, 264.20001220703125, 171.44000244140625], [80.0, 171.44000244140625, 264.20001220703125, 191.7899932861328], [80.0, 214.99000549316406, 264.20001220703125, 242.74000549316406]]",simplified_management_condition,/,[],NOT_APPLICABLE_IN_CATALOG,HIGH,"[""catalog_cell_slash_not_applicable""]","[""该管理条件单元格为/，请确认名录原文是否确为不适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,2,REGISTRATION,一、畜牧业03,其他畜牧业039,039,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,3,"[46.56, 85.29, 794.78, 477.32]","[[46.55999946594238, 456.5899963378906, 80.0, 477.3199920654297], [80.0, 85.29000091552734, 264.20001220703125, 106.13999938964844], [80.0, 126.48999786376953, 264.20001220703125, 171.44000244140625], [80.0, 171.44000244140625, 264.20001220703125, 191.7899932861328], [80.0, 214.99000549316406, 264.20001220703125, 242.74000549316406]]",registration_management_condition,设有污水排放口的养殖场、养殖小区,[],APPLIES_IF_CONDITION_MET,MEDIUM,"[""need_human_normalization""]","[""请根据名录原文、环评、批复、排污许可、登记回执和现场事实确认该管理条件是否适用。""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,3,KEY,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,5,"[46.56, 85.29, 794.78, 477.32]","[[264.20001220703125, 85.29000091552734, 441.25, 106.13999938964844], [264.20001220703125, 126.48999786376953, 441.25, 171.44000244140625], [264.20001220703125, 171.44000244140625, 441.25, 191.7899932861328], [264.20001220703125, 214.99000549316406, 441.25, 242.74000549316406], [264.20001220703125, 265.94000244140625, 441.25, 286.2900085449219]]",key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,3,SIMPLIFIED,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,5,"[46.56, 85.29, 794.78, 477.32]","[[264.20001220703125, 85.29000091552734, 441.25, 106.13999938964844], [264.20001220703125, 126.48999786376953, 441.25, 171.44000244140625], [264.20001220703125, 171.44000244140625, 441.25, 191.7899932861328], [264.20001220703125, 214.99000549316406, 441.25, 242.74000549316406], [264.20001220703125, 265.94000244140625, 441.25, 286.2900085449219]]",simplified_management_condition,涉及通用工序简化管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,3,REGISTRATION,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,5,"[46.56, 85.29, 794.78, 477.32]","[[264.20001220703125, 85.29000091552734, 441.25, 106.13999938964844], [264.20001220703125, 126.48999786376953, 441.25, 171.44000244140625], [264.20001220703125, 171.44000244140625, 441.25, 191.7899932861328], [264.20001220703125, 214.99000549316406, 441.25, 242.74000549316406], [264.20001220703125, 265.94000244140625, 441.25, 286.2900085449219]]",registration_management_condition,其他,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]",ELSE_CONDITION,MEDIUM,"[""else_condition_requires_peer_condition_exclusion""]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
2019,4,KEY,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,permit_management_catalog_table_cells.csv + permit_condition_normalization_draft.csv,固定污染源排污许可分类管理名录(2019年版).pdf,4,7,"[46.56, 85.29, 794.78, 477.32]","[[441.25, 126.48999786376953, 618.1500244140625, 171.44000244140625], [441.25, 171.44000244140625, 618.1500244140625, 191.7899932861328], [441.25, 214.99000549316406, 618.1500244140625, 242.74000549316406], [441.25, 265.94000244140625, 618.1500244140625, 286.2900085449219], [441.25, 309.489990234375, 618.1500244140625, 337.19000244140625]]",key_management_condition,涉及通用工序重点管理的,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]",APPLIES_IF_CONDITION_MET,MEDIUM,"[""requires_general_process_cross_reference_109_112""]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",NEED_CONFIRM,DRAFT_NOT_FOR_RUNTIME,[],affirmative_or_unknown,
