candidate_rule_id,industry_code,industry_name,division_code,division_name,group_code,group_name,permit_type,scenario_template_ids,unknown_scenarios,source_basis,confidence,confirmation_questions,runtime_status,notes
BATCH10_GB4754_8310,8310,学前教育,83,教育,831,学前教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8321,8321,普通小学教育,83,教育,832,初等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8322,8322,成人小学教育,83,教育,832,初等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8331,8331,普通初中教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8332,8332,职业初中教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8333,8333,成人初中教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8334,8334,普通高中教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8335,8335,成人高中教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8336,8336,中等职业学校教育,83,教育,833,中等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
BATCH10_GB4754_8341,8341,普通高等教育,83,教育,834,高等教育,NEED_CONFIRM,"[""SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER""]","[""SCN_WW_PROCESS_AND_TREATMENT"", ""SCN_HAZWASTE_STORAGE_TRANSFER"", ""SCN_MEDICAL_WASTE_RADIATION""]","[""GB/T 4754-2017 industry_catalog_base.csv"", ""固定污染源排污许可分类管理名录(2019年版)表格级抽取与条件规则化草案，仅作为候选召回依据"", ""scenario_templates.json v0.1 复用；不新增运行时模板""]",LOW,"[""企业实际经营、生产、服务或作业活动是否与营业执照行业一致？"", ""环评、批复、排污许可、登记回执、监测报告或现场事实中载明的主要污染物、设施和排口是什么？"", ""是否涉及锅炉、工业炉窑、污水处理、表面处理、喷涂、危废暂存、在线监测、事故水或其他通用工序？"", ""是否有实验室、医务室、食堂、锅炉、废液、试剂瓶、动物实验或放射源/射线装置？""]",CANDIDATE_ONLY,Batch10候选：教育机构多为轻画像，实验室/医务室/食堂触发专项。
