overlay_id,review_item_id,link_id,decision,human_review_label,overlay_status,runtime_effect,reviewer,reviewed_at,review_notes,source_basis,final_state,runtime_status,runtime_integration,candidate_only
PSL-RVO86::PSL-V8_6-00012,RVQ86::PSL-V8_6-00012,PSL-V8_6-00012,ACCEPT,CONFIRM_LINK,FORMALIZATION_CANDIDATE,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00026,RVQ86::PSL-V8_6-00026,PSL-V8_6-00026,REJECT,REJECT_CANDIDATE,BLOCKS_RUNTIME,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00088,RVQ86::PSL-V8_6-00088,PSL-V8_6-00088,REJECT,REJECT_CANDIDATE,BLOCKS_RUNTIME,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00179,RVQ86::PSL-V8_6-00179,PSL-V8_6-00179,REJECT,REJECT_CANDIDATE,BLOCKS_RUNTIME,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00195,RVQ86::PSL-V8_6-00195,PSL-V8_6-00195,REJECT,REJECT_CANDIDATE,BLOCKS_RUNTIME,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00211,RVQ86::PSL-V8_6-00211,PSL-V8_6-00211,ACCEPT,CONFIRM_LINK,FORMALIZATION_CANDIDATE,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00260,RVQ86::PSL-V8_6-00260,PSL-V8_6-00260,ACCEPT,CONFIRM_LINK,FORMALIZATION_CANDIDATE,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00270,RVQ86::PSL-V8_6-00270,PSL-V8_6-00270,ACCEPT,CONFIRM_LINK,FORMALIZATION_CANDIDATE,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00321,RVQ86::PSL-V8_6-00321,PSL-V8_6-00321,REJECT,REJECT_CANDIDATE,BLOCKS_RUNTIME,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
PSL-RVO86::PSL-V8_6-00327,RVQ86::PSL-V8_6-00327,PSL-V8_6-00327,ACCEPT,CONFIRM_LINK,FORMALIZATION_CANDIDATE,NO_RUNTIME_EFFECT,candy_review_batch,2026-06-02T23:59:05+08:00,,pollutant_standard_link_review_queue_v8_6.csv; 我们的审批.txt,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,DRAFT_NOT_FOR_RUNTIME,disabled,TRUE
