scenario_id,scenario_name,primary_score_item_id,secondary_score_item_ids,mapping_reason,possible_report_sections,human_confirm_required,current_13_dimension_gap,suggested_improvement,runtime_status
SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,通用生产经营、一般固废、噪声与基础台账,S01,S02;S06;S07;S10,生产/工艺/产能一致性归S01；设施运行、固废和噪声按目的分别落S06/S07/S10。,S01 环保手续完善情况;S02 环保台账规范情况;S06 环保治理设施运行情况;S07 固体废物贮存规范情况;S10 废水、废气、噪声、废渣排放及处置情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S08/S09/S11没有被24标签充分承载。,新增二级语义 environmental_training、environmental_signage_publicity、issue_closure。,CANDIDATE_ONLY
SCN_WW_PROCESS_AND_TREATMENT,生产/医疗/清洗废水与污水处理设施,S06,S10;S02;S03;S13,污水站本体和运行归S06，排放去向/排口归S10，运行台账归S02，在线联网归S03。,S06 环保治理设施运行情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况;S03 环保相关系统完成情况;S13 环保应急管理情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S10过宽，废水排放与雨水/事故水容易混在一起。,S10下设 water_discharge、rainwater_outfall；S13补 accident_water_response。,CANDIDATE_ONLY
SCN_VOCS_SOLVENT_AND_TREATMENT,VOCs溶剂使用、无组织排放与废气治理,S10,S06;S02;S07,VOCs排放和逸散归S10，治理设施归S06，运行/更换记录归S02，废活性炭归S07。,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S02 环保台账规范情况;S07 固体废物贮存规范情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S10同时承载有组织、无组织、LDAR和治理结果。,S10下设 organized_exhaust、unorganized_exhaust、vocs_material、ldar。,CANDIDATE_ONLY
SCN_HAZWASTE_STORAGE_TRANSFER,危险废物识别、暂存与转移,S07,S02;S09;S13,危废暂存现场归S07，管理计划/台账/联单归S02，标识制度归S09，泄漏应急归S13。,S07 固体废物贮存规范情况;S02 环保台账规范情况;S09 标识、标牌、制度公示情况;S13 环保应急管理情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S07容易把台账联单也吞掉，影响报告解释。,S07只管贮存现场，S02管台账联单；新增 waste_kind=hazardous/general/medical。,CANDIDATE_ONLY
SCN_MEDICAL_WASTE_RADIATION,医疗废物、医疗废水与放射诊疗确认,S07,S12;S06;S02;S10,医废暂存归S07，辐射归S12，医疗废水设施归S06，交接/消毒记录归S02。,S07 固体废物贮存规范情况;S12 辐射安全管理;S06 环保治理设施运行情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,医废是固废子类但现场语义不同；辐射需要独立知识层。,S07二级区分 medical_waste；S12补 radiation_type、device、dose_monitoring。,CANDIDATE_ONLY
SCN_CHEMICAL_TANK_LDAR_SEEPAGE,液态化学品储罐、LDAR与防渗风险,S04,S10;S13;S02;S06,防渗/泄漏迹象归S04，LDAR结果归S10，应急收集归S13，检测记录归S02。,S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S13 环保应急管理情况;S02 环保台账规范情况;S06 环保治理设施运行情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S04和S13边界需要按风险单元目的区分。,新增 risk_unit=liquid_tank、containment、seepage_control、emergency_collection。,CANDIDATE_ONLY
SCN_GAS_STATION_VAPOR_UST,加油站油气回收、地下储罐与土壤地下水风险,S06,S04;S10;S02,油气回收系统归S06，地下储罐/防渗归S04，油气逸散归S10，检测维保归S02。,S06 环保治理设施运行情况;S04 内部现场环境情况;S10 废水、废气、噪声、废渣排放及处置情况;S02 环保台账规范情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,油气回收同时涉及设施、排放和土壤地下水风险。,知识图谱拆成 vapor_recovery_system、underground_tank、leak_detection。,CANDIDATE_ONLY
SCN_DUST_PARTICULATE_CONTROL,粉尘颗粒物产生与除尘设施,S10,S06;S04;S03,颗粒物排放归S10，除尘设施归S06，厂内积尘可辅S04，在线监测归S03。,S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S03 环保相关系统完成情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S10需要区分颗粒物、VOCs、废水、噪声。,S10下设 particulate_control 和 fugitive_dust。,CANDIDATE_ONLY
SCN_ONLINE_MONITORING_KEY_UNIT,重点管理/重点排污单位在线监测,S03,S02;S10,联网、数采仪、视频属S03；运维校准/比对记录属S02；排口数据异常可辅S10。,S03 环保相关系统完成情况;S02 环保台账规范情况;S10 废水、废气、噪声、废渣排放及处置情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,S03目前基本只由在线监测承载，缺少系统完成度细分。,S03下设 monitoring_device、datalogger、network_status、video_monitoring。,CANDIDATE_ONLY
SCN_RAINWATER_ACCIDENT_EMERGENCY,雨污分流、事故水与环境应急,S13,S10;S06;S04;S02,应急预案/物资/事故水响应归S13，雨污混排归S10，事故水设施归S06，防渗泄漏归S04。,S13 环保应急管理情况;S10 废水、废气、噪声、废渣排放及处置情况;S06 环保治理设施运行情况;S04 内部现场环境情况;S02 环保台账规范情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,EcoCheck现有应急项散落S01/S06/S02，S13没有充分使用。,保持报告13维不改名，知识层新增 emergency_plan、drill、materials、accident_water、incident_record。,CANDIDATE_ONLY
SCN_TRAINING_SIGNAGE_REVIEW_GAP,环保培训、标识公示与历史问题闭环补强,S08,S09;S11;S13,这是13维缺口补强模板，不作为产污默认画像；用于培训、标识、整改闭环的知识图谱二级层。,S08 环保培训情况;S09 标识、标牌、制度公示情况;S11 历史遗留问题整改情况;S13 环保应急管理情况,需由ESO/ETO结合环评、批复、排污许可、台账和现场事实确认是否适用。,24标签缺S08/S09/S11承载。,新增 governance 场景层，不直接改EcoCheck报告口径。,CANDIDATE_ONLY
