process_id,process_name,aliases,positive_keywords,negative_keywords,source_document_types,linked_scenario_ids,linked_permit_entry_nos,evidence_requirements,photo_points,site_verification_required,confidence,runtime_status,final_state,runtime_integration
spraying_coating,喷涂/涂装/涂布,喷漆;喷粉;涂装;涂布;烘干;调漆;喷涂线,喷涂;喷漆;涂装;涂布;烘干;调漆;喷粉,无喷涂;不设喷漆;外协喷涂;仅外购成品涂装件,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY,80;109;110;111;112,环评工艺流程；废气章节；原辅料MSDS；废气治理设施；危废台账,喷涂/调漆工位；烘干室；集气罩；治理设施；废过滤棉/废活性炭暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
electroplating_acid_pickling,电镀/酸洗/磷化/表面处理,电镀;酸洗;磷化;氧化;钝化;表面处理槽,电镀;酸洗;磷化;氧化;钝化;表面处理;槽液,无电镀;不设酸洗;表面处理外协;无槽体,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_CHEMICAL_TANK_LDAR_SEEPAGE,80;111;112,环评表面处理章节；槽体设备清单；废水处理工艺；危化品台账；危废代码,电镀/酸洗槽；药剂库；废水收集沟；污水站；危废暂存间,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
fermentation_distillation,发酵/蒸馏/酒类酿造,发酵;糖化;蒸馏;酿造;酒糟;酒精发酵,发酵;糖化;蒸馏;酿造;酒糟;发酵罐,仅勾兑;仅分装;无发酵;外购基酒,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_BASE_PRODUCTION_SOLID_NOISE_LEDGER,21;22;23;109;112,环评生产工艺；发酵/蒸馏设备清单；废水章节；固废/酒糟去向；产能证明,发酵罐；蒸馏设备；清洗点；污水站；酒糟/一般固废暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
printing_gluing,印刷/粘合/覆膜,印刷;胶印;柔印;粘箱;覆膜;上光,印刷;油墨;胶黏剂;粘合;覆膜;上光;洗版,无印刷;不使用油墨;外协印刷;仅裁切,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_VOCS_SOLVENT_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_WW_PROCESS_AND_TREATMENT,38;39;112,环评印刷工艺；油墨/MSDS；废气治理；洗版/清洗废水说明；危废台账,印刷机；油墨/胶黏剂标签；集气罩；废气治理设施；洗版/清洗点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
boiler_combustion,锅炉/燃烧供热,锅炉;蒸汽发生器;燃气锅炉;燃煤锅炉;生物质锅炉,锅炉;蒸汽;燃气锅炉;燃煤锅炉;生物质锅炉;额定蒸发量,无锅炉;电加热;外供蒸汽;仅办公热水,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_DUST_PARTICULATE_CONTROL;SCN_ONLINE_MONITORING_KEY_UNIT;SCN_RAINWATER_ACCIDENT_EMERGENCY,96;109,锅炉登记证；铭牌；燃料类型；额定蒸发量；废气排口；监测报告,锅炉铭牌；燃料供应点；排气筒；废气治理设施；运行记录,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
wastewater_treatment_station,污水处理站/废水预处理,污水站;废水处理;预处理;生化池;沉淀池;气浮,污水处理站;废水处理;预处理;生化;沉淀;气浮;总排口,无生产废水;生活污水接管;不设污水站,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_WW_PROCESS_AND_TREATMENT;SCN_ONLINE_MONITORING_KEY_UNIT;SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_HAZWASTE_STORAGE_TRANSFER,112,污水站工艺流程；排水去向；运行台账；污泥去向；排口信息,污水站全景；关键处理单元；总排口；在线监测设备；污泥暂存点,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
medical_wastewater_waste_radiation,医疗废水/医废/放射诊疗,医疗废水;医废;检验科;病理科;放射诊疗;核医学,医疗废水;医废;检验科;病理科;放射诊疗;核医学;床位,无床位;无诊疗;无放射设备;仅咨询,EIA;APPROVAL;PERMIT;LICENSE;SITE,SCN_MEDICAL_WASTE_RADIATION;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER,107;112,医疗机构执业许可证；床位证明；医废合同；放射诊疗许可证；污水站台账,医废暂存间；污水消毒设施；放射设备警示标识；医废交接记录；床位证明,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
laboratory_waste_liquid,实验室废液/检测试剂,实验室废液;检测试剂;化验室;废试剂;样品前处理,实验室;化验室;检测试剂;废液;样品前处理;实验废物,无实验室;委外检测;不产生实验废液,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_HAZWASTE_STORAGE_TRANSFER;SCN_RAINWATER_ACCIDENT_EMERGENCY;NEW_SCN_LAB_WASTE_CANDIDATE,112,实验室平面图；试剂清单；废液收集桶；危废台账；应急物资,实验室操作台；试剂柜；废液桶标签；危废暂存间；应急吸附物资,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
tailings_storage,尾矿库/尾矿输送与回水,尾矿库;尾矿坝;回水池;渗滤液;排洪系统,尾矿库;尾矿坝;尾矿输送;回水池;排洪;渗滤液,无尾矿库;尾矿外运;不设尾矿贮存,EIA;APPROVAL;PERMIT;SAFETY_ASSESSMENT;SITE,SCN_RAINWATER_ACCIDENT_EMERGENCY;SCN_WW_PROCESS_AND_TREATMENT;NEW_SCN_TAILINGS_CANDIDATE,NEED_CONFIRM,尾矿库环评章节；安全评价；库区平面图；回水/渗滤液处理；应急预案,尾矿坝；排洪系统；回水池；渗滤液收集点；在线/巡检记录,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
waste_incineration_landfill,垃圾焚烧/填埋,垃圾焚烧;生活垃圾填埋;渗滤液;烟气净化;飞灰,垃圾焚烧;填埋;渗滤液;烟气净化;飞灰;炉渣,无焚烧;无填埋;仅转运,EIA;APPROVAL;PERMIT;LEDGER;SITE,SCN_DUST_PARTICULATE_CONTROL;SCN_WW_PROCESS_AND_TREATMENT;SCN_HAZWASTE_STORAGE_TRANSFER;SCN_ONLINE_MONITORING_KEY_UNIT;NEW_SCN_WASTE_DISPOSAL_CANDIDATE,104;105;106;109;112,环评处置工艺；烟气净化；渗滤液处理；飞灰危废去向；在线监测,焚烧炉/填埋作业区；烟气净化设施；渗滤液站；飞灰暂存；在线监测站房,true,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
industrial_noise_source,工业噪声源/厂界噪声,工业噪声;厂界噪声;高噪声设备;隔声减振;噪声监测,噪声源;厂界噪声;空压机;风机;泵;破碎;粉磨;冲压;切割;冷却塔;隔声;减振;消声,无噪声源;仅办公;无生产设备;设备停用;无夜间生产,EIA;APPROVAL;PERMIT;LEDGER;SITE;MONITORING,SCN_NOISE_SOURCE_BOUNDARY_CONTROL,109;110;112,环评噪声章节；工业噪声许可要求；设备清单；厂界噪声监测报告；隔声减振维护记录,高噪声设备及铭牌；隔声减振措施；厂界监测点；周边敏感点方向；监测报告关键页,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
boundary_noise_monitoring,厂界噪声监测/执行标准,厂界噪声监测;自行监测;噪声执行标准;监测点位;昼夜监测,厂界噪声;自行监测;监测点位;昼间;夜间;GB 12348;功能区;监测频次,无监测要求;无需厂界监测;仅现场初筛;社会生活噪声,PERMIT;EIA;MONITORING;LEDGER,SCN_NOISE_BOUNDARY_MONITORING_LEDGER,,自行监测方案；厂界噪声监测报告；监测点位图；执行标准说明；超标整改记录,厂界监测点位；监测点位示意图；监测报告关键页；厂界四至,true,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
