catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,raw_condition,applies_status,predicate_count,normalized_predicates_json,confirmation_questions_json,audit_flags,normalization_confidence,runtime_status,source_page
1,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,KEY,设有污水排放口的规模化畜禽养殖 场、养殖小区（具体规模化标准按《畜 禽规模养殖污染防治条例》执行）,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
1,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,4
1,一、畜牧业03,牲畜饲养031，家禽饲养032,031;032,REGISTRATION,无污水排放口的规模化畜禽养殖场、养 殖小区，设有污水排放口的规模以下畜 禽养殖场、养殖小区,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
2,一、畜牧业03,其他畜牧业039,039,KEY,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,4
2,一、畜牧业03,其他畜牧业039,039,SIMPLIFIED,/,NOT_APPLICABLE_IN_CATALOG,0,[],[],catalog_cell_slash_not_applicable,HIGH,DRAFT_NOT_FOR_RUNTIME,4
2,一、畜牧业03,其他畜牧业039,039,REGISTRATION,设有污水排放口的养殖场、养殖小区,APPLIES_IF_CONDITION_MET,0,[],[],need_human_normalization,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
3,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
3,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,SIMPLIFIED,涉及通用工序简化管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_simplified_management"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序简化管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""SIMPLIFIED"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
3,二、煤炭开采和洗选业06,"烟煤和无烟煤开采洗选061，褐煤开采
洗选062，其他煤炭洗选069",061;062;069,REGISTRATION,其他,ELSE_CONDITION,1,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""else_condition"", ""operator"": ""present"", ""target_management"": ""REGISTRATION"", ""raw_fragment"": ""其他"", ""confidence"": ""HIGH""}]","[""是否不满足同一名录条目的重点管理和简化管理条件，从而落入其他/兜底条件？""]",else_condition_requires_peer_condition_exclusion,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
4,三、石油和天然气开采业07,石油开采071，天然气开采072,071;072,KEY,涉及通用工序重点管理的,APPLIES_IF_CONDITION_MET,2,"[{""predicate_type"": ""process_or_flag"", ""flag"": ""general_process_key_management"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序重点管理"", ""confidence"": ""MEDIUM""}, {""predicate_type"": ""process_or_flag"", ""flag"": ""references_general_process_109_112"", ""operator"": ""present"", ""target_management"": ""KEY"", ""raw_fragment"": ""涉及通用工序"", ""confidence"": ""HIGH""}]","[""是否涉及名录第109-112类通用工序，且对应通用工序管理类别是什么？""]",requires_general_process_cross_reference_109_112,MEDIUM,DRAFT_NOT_FOR_RUNTIME,4
