catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,predicate_type,metric,operator,value,unit,lower_value,lower_unit,lower_inclusive,upper_value,upper_unit,upper_inclusive,equivalent_value,equivalent_unit,metric_source_keyword,metric_inference,raw_fragment,raw_condition,governance_status,review_question,source_basis,confidence,runtime_status,source_page
12,八、农副食品加工业13,制糖业134,134,KEY,threshold,daily_sugar_processing_capacity,gte,1000,ton_per_day,,,,,,,,,日加工糖料能力,DIRECT_PREFIX,日加工糖料能力1000吨及以上,日加工糖料能力1000 吨及以上的原 糖、成品糖或者精制糖生产,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_pig,gte,100000,head_per_year,,,,,,,,,年屠宰生猪,DIRECT_PREFIX,年屠宰生猪10万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_cattle,gte,10000,head_per_year,,,,,,,,,年屠宰肉牛,DIRECT_PREFIX,年屠宰肉牛1万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_sheep,gte,150000,head_per_year,,,,,,,,,年屠宰肉羊,DIRECT_PREFIX,年屠宰肉羊15万头及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,KEY,threshold,annual_slaughter_poultry,gte,10000000,head_per_year,,,,,,,,,年屠宰禽类,DIRECT_PREFIX,年屠宰禽类1000万只及以上,年屠宰生猪10 万头及以上的，年屠 宰肉牛1 万头及以上的，年屠宰肉羊 15 万头及以上的，年屠宰禽类1000 万只及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_pig,gte_and_lt,,,20000,head_per_year,True,100000,head_per_year,False,,,年屠宰生猪,DIRECT_PREFIX,年屠宰生猪2万头及以上10万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_cattle,gte_and_lt,,,2000,head_per_year,True,10000,head_per_year,False,,,年屠宰肉牛,DIRECT_PREFIX,年屠宰肉牛0.2万头及以上1万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_sheep,gte_and_lt,,,25000,head_per_year,True,150000,head_per_year,False,,,年屠宰肉羊,DIRECT_PREFIX,年屠宰肉羊2.5万头及以上15万头以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold_range,annual_slaughter_poultry,gte_and_lt,,,1000000,head_per_year,True,10000000,head_per_year,False,,,年屠宰禽类,DIRECT_PREFIX,年屠宰禽类100万只及以上1000万只以下,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_RANGE_PREDICATE_NEED_BOUNDARY_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
13,八、农副食品加工业13,屠宰及肉类加工135,135,SIMPLIFIED,threshold,annual_meat_poultry_processing,gte,20000,ton_per_year,,,,,,,,,年加工肉禽类,DIRECT_PREFIX,年加工肉禽类2万吨及以上,年屠宰生猪2 万头及以上10 万头以 下的，年屠宰肉牛0.2 万头及以上1 万头以下的，年屠宰肉羊2.5 万头及 以上15 万头以下的，年屠宰禽类100 万只及以上1000 万只以下的，年加 工肉禽类2 万吨及以上的,DRAFT_THRESHOLD_PREDICATE_NEED_SOURCE_CONFIRM,请用名录原文、企业证照/许可或产能证明确认该阈值指标、单位、边界是否准确。,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,MEDIUM,DRAFT_NOT_FOR_RUNTIME,5
