rule_id,process_id,scenario_id,activation_condition,negative_condition,evidence_strength_required,evidence_chain,photo_points,score13_hint,open_question_refs,rule_effect,confidence,runtime_status,final_state,runtime_integration
RULE13_SPRAYING_VOCS,spraying_coating,SCN_VOCS_SOLVENT_AND_TREATMENT,喷涂/调漆/烘干 + 集气或治理设施文本命中,无喷涂;外协喷涂;仅外购涂装件,DIRECT_OR_PERMIT_DOCUMENTED,废气章节;喷漆房;活性炭/催化燃烧;排气筒照片,废气章节;喷漆房;活性炭/催化燃烧;排气筒照片,S10;S06;S07,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_SPRAYING_HAZWASTE,spraying_coating,SCN_HAZWASTE_STORAGE_TRANSFER,喷涂使用油漆/溶剂/活性炭并产生废过滤棉、废活性炭或废包装,水性材料且无危废仍需危废代码确认,DIRECT_OR_PERMIT_DOCUMENTED,MSDS;危废台账;危废间照片;转移联单,MSDS;危废台账;危废间照片;转移联单,S07;S02;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PICKLING_WASTEWATER,electroplating_acid_pickling,SCN_WW_PROCESS_AND_TREATMENT,电镀/酸洗/磷化/氧化槽体 + 清洗废水或槽液更换,不设置槽体;表面处理全外协,DIRECT_OR_PERMIT_DOCUMENTED,槽体照片;废水管沟;污水站;药剂台账,槽体照片;废水管沟;污水站;药剂台账,S10;S06;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PICKLING_CHEMICAL,electroplating_acid_pickling,SCN_CHEMICAL_TANK_LDAR_SEEPAGE,酸碱/药剂储槽、槽液或液态化学品库存在,无槽体;无液态化学品储存,DIRECT_OR_PERMIT_DOCUMENTED,药剂库;围堰;防渗;SDS;应急物资,药剂库;围堰;防渗;SDS;应急物资,S13;S04;S09,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_BAIJIU_WASTEWATER,fermentation_distillation,SCN_WW_PROCESS_AND_TREATMENT,发酵/蒸馏/清洗 + 生产废水进入厂区污水站,仅勾兑分装且无生产废水,DIRECT_OR_PERMIT_DOCUMENTED,工艺流程;污水站;排口;运行台账,工艺流程;污水站;排口;运行台账,S10;S06;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_PRINTING_VOCS,printing_gluing,SCN_VOCS_SOLVENT_AND_TREATMENT,印刷/粘合/覆膜 + 油墨/胶黏剂/VOCs废气,外协印刷;仅裁切;无油墨胶黏剂,DIRECT_OR_PERMIT_DOCUMENTED,印刷机;MSDS;集气罩;废气治理设施,印刷机;MSDS;集气罩;废气治理设施,S10;S06;S07,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_BOILER_EXHAUST,boiler_combustion,SCN_DUST_PARTICULATE_CONTROL,锅炉/燃烧设备 + 燃料类型 + 排气筒,电加热;外供蒸汽;仅生活热水,DIRECT_OR_PERMIT_DOCUMENTED,锅炉铭牌;登记证;燃料;排气筒;监测报告,锅炉铭牌;登记证;燃料;排气筒;监测报告,S10;S06;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_WW_STATION_SLUDGE,wastewater_treatment_station,SCN_HAZWASTE_STORAGE_TRANSFER,污水站 + 污泥/浮渣/废药剂包装产生,仅生活污水接管且无处理设施,DIRECT_OR_PERMIT_DOCUMENTED,污泥暂存;检测报告;危废/一般固废去向,污泥暂存;检测报告;危废/一般固废去向,S07;S10;S02,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_MEDICAL_WASTE,medical_wastewater_waste_radiation,SCN_MEDICAL_WASTE_RADIATION,医疗机构 + 医废暂存/医疗污水/放射诊疗任一事实,无诊疗;无床位;无医废;无放射设备,DIRECT_OR_PERMIT_DOCUMENTED,医废间;医废合同;污水消毒设施;放射许可,医废间;医废合同;污水消毒设施;放射许可,S07;S12;S06;S13,,CANDIDATE_SCENARIO_ACTIVATION_ONLY,HIGH,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_LAB_WASTE,laboratory_waste_liquid,NEW_SCN_LAB_WASTE_CANDIDATE,实验室/检测试剂 + 废液/废试剂瓶,委外检测;无实验室;不产生实验废液,DIRECT_OR_PERMIT_DOCUMENTED,废液桶;标签;危废间;试剂柜;应急吸附物资,废液桶;标签;危废间;试剂柜;应急吸附物资,S07;S13;S09,V03_SCENARIO_TEMPLATE_001,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_TAILINGS,tailings_storage,NEW_SCN_TAILINGS_CANDIDATE,尾矿库/尾矿坝/回水池/渗滤液任一风险单元,无尾矿库;尾矿直接外运且无库区,DIRECT_OR_PERMIT_DOCUMENTED,尾矿坝;排洪系统;回水池;应急预案;巡检记录,尾矿坝;排洪系统;回水池;应急预案;巡检记录,S13;S10;S04,V03_SCENARIO_TEMPLATE_001,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
RULE13_WASTE_DISPOSAL,waste_incineration_landfill,NEW_SCN_WASTE_DISPOSAL_CANDIDATE,垃圾焚烧/填埋 + 烟气净化/渗滤液/飞灰,仅转运站且无焚烧填埋处置,DIRECT_OR_PERMIT_DOCUMENTED,焚烧炉/填埋区;烟气净化;渗滤液站;飞灰暂存;在线监测,焚烧炉/填埋区;烟气净化;渗滤液站;飞灰暂存;在线监测,S10;S06;S07;S13,V03_SCENARIO_TEMPLATE_001,CANDIDATE_SCENARIO_ACTIVATION_ONLY,MEDIUM,DRAFT_NOT_FOR_RUNTIME,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled
