sample_id,sample_set,sample_bucket,industry_code,industry_name,sample_polarity,factor_ids,factor_names,evidence_requirements,photo_points,confirmation_questions,source_basis,candidate_status,gate_status,confidence,blocked_actions,runtime_effect,runtime_status,final_state,runtime_integration,notes,version_manifest_id
ECC_IFS_001,HIGH_FREQUENCY_INDUSTRY,medical,8411,综合医院,POSITIVE,medical_waste;wastewater_station;radiation;hazardous_waste;online_monitoring,医废;医疗废水;辐射;危废;在线监测,医废处置协议;污水站运行记录;辐射安全材料,医废暂存间;污水站;放射科警示标识,是否存在医废暂存和转运;是否存在医疗废水处理;是否存在放射或核技术利用,EcoCheck candidate-coverage unit samples and domain discussion,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,医院行业画像常见因子已由行业画像覆盖但仍保留样本回归,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_002,HIGH_FREQUENCY_INDUSTRY,surface_treatment,3360,金属表面处理及热处理加工,POSITIVE,production_process_activity;wastewater_generation;hazardous_waste;involves_heavy_metal;unorganized_exhaust,表面处理作业;废水;危废;重金属;无组织废气,电镀或酸洗线台账;危废台账;废水检测报告,酸洗槽;废水处理设施;危废暂存间,是否存在酸洗电镀磷化;是否有含重金属废水;危废暂存是否规范,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,高频制造业专项样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_003,HIGH_FREQUENCY_INDUSTRY,coating,2641,涂料制造,POSITIVE,production_process_activity;vocs_emission;exhaust_treatment_facility;organized_exhaust_stack;hazardous_waste,VOCs;废气治理;排气筒;危废,涂料配料记录;废活性炭台账;废气治理运行记录,调漆区;活性炭箱;排气筒,是否存在溶剂树脂调配;废气是否收集治理;危废是否建账,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,制造端VOCs典型样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_004,HIGH_FREQUENCY_INDUSTRY,printing,2319,包装装潢印刷,POSITIVE,production_process_activity;vocs_emission;hazardous_waste;exhaust_treatment_facility,印刷作业;VOCs;危废;废气治理,油墨用量台账;废版废油墨台账;治理设施记录,印刷机;油墨库;废气收集设施,是否存在印刷覆膜洗版;是否产生废版废油墨;是否有废气收集,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,印刷行业VOCs样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_005,HIGH_FREQUENCY_INDUSTRY,paper_making,2221,机制纸及纸板制造,POSITIVE,production_process_activity;wastewater_generation;wastewater_station;general_solid_waste;boiler_combustion;online_monitoring,造纸;白水;污水站;污泥;锅炉;在线监测,白水回用记录;在线监测数据;污泥处置台账,抄纸机;污水站总排口;污泥压滤机,是否有制浆抄纸;是否有污水站和在线监测;污泥如何处置,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,造纸厂样本已单独回归,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_006,HIGH_FREQUENCY_INDUSTRY,auto_spray,8111,汽车修理与维护,POSITIVE,production_process_activity;vocs_emission;dust_particulate;hazardous_waste;exhaust_treatment_facility,汽修喷涂;VOCs;打磨粉尘;危废;废气治理,废机油台账;喷漆房维护记录;废过滤棉台账,喷漆房;打磨区;危废暂存间,是否存在喷漆烤漆;是否产生废机油过滤棉;废气是否治理,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,汽修喷涂高频样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_007,HIGH_FREQUENCY_INDUSTRY,lab_testing,7452,检测服务,POSITIVE,production_process_activity;hazardous_waste;wastewater_generation;exhaust_treatment_facility;involves_hazchem_major_hazard,实验检测;实验室废液;实验废水;通风橱;试剂,实验室废液台账;试剂清单;通风橱记录,实验室;试剂柜;废液暂存点,是否有实验检测活动;是否产生废液废试剂瓶;试剂柜是否规范,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,实验室检测样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_008,HIGH_FREQUENCY_INDUSTRY,catering_central_kitchen,6210,正餐服务和中央厨房,POSITIVE,production_process_activity;wastewater_generation;exhaust_treatment_facility;general_solid_waste;noise_source,餐饮加工;隔油废水;油烟治理;餐厨垃圾;风机噪声,隔油池清掏记录;油烟净化器清洗记录;餐厨垃圾清运协议,隔油池;油烟净化器;厨房风机,是否存在中央厨房或食堂;油烟是否净化;隔油池和餐厨垃圾是否管理,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,餐饮油烟和隔油样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_009,HIGH_FREQUENCY_INDUSTRY,gas_station_oil_storage,5265,机动车燃油零售,POSITIVE,vocs_emission;liquid_chemical_tank_area;soil_groundwater_risk;rainwater_accident_risk;involves_hazchem_major_hazard;gas_station_vapor_recovery;underground_storage_tank,油气回收;油罐;防渗;事故水;危化;地下罐,油气回收检测记录;油罐防渗材料;应急物资清单,卸油区;加油枪;地下油罐区,是否存在地下油罐;油气回收是否运行;事故水和防渗如何管理,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,加油站专项样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
ECC_IFS_010,HIGH_FREQUENCY_INDUSTRY,machining_hardware,3399,机械加工和五金加工,POSITIVE,production_process_activity;dust_particulate;hazardous_waste;general_solid_waste;noise_source,机加工;粉尘;废切削液;边角料;噪声,废切削液台账;边角料去向;设备维护记录,机加工设备;危废暂存点;噪声设备,是否存在切割冲压机加工;是否产生废切削液;噪声源是否明显,EcoCheck candidate-coverage unit samples,CANDIDATE_RECALLED,SITE_VERIFICATION_REQUIRED,HIGH,create_confirmed_dataset;formal_permit_type;formal_inspection_template;auto_deduct;auto_deduct_score;formal_compliance_conclusion;direct_ecoCheck_runtime_mutation;mutate_coefficient_selector,PROFILE_GAP_AND_TEMPLATE_MATCHER_HINTS,APPROVED_RULE_INPUT,APPROVED_INDUSTRY_RULE_INPUT,industry_feature_generator,机加工高频样本,ECC_CANDIDATE_COVERAGE_IFS_MANIFEST_V1_0
