item_id,priority,industry,scenario,chapter,dimension,title,content,threshold_text,source_basis,photo_points,evidence_chain,answer_policy,source_process_id,trigger_keywords,not_applicable_when,eto_review_decision,eto_review_note,approval_status,approval_source,runtime_status,final_state,runtime_integration,approved_baseline_version,source_candidate_boundary,source_final_state,source_runtime_integration,knowledge_base_target_repository,source_hash
FIRST_S07_SPEC_HAZWASTE_FIVE_CODE_CONTAINER_QR,P1,危废产生企业,危废五即一码,S07,solid_waste_hazardous_waste,危废包装容器一物一码,核查危险废物包装容器是否落实五即一码中的一物一码管理，容器标签或二维码应与危废类别、代码、重量、产生批次和贮存位置一致。 ETO批复口径：接受“平台截图 + 容器码照片”作为证据，使用地方官方危废平台或合规第三方数字系统的均予认可。,每个危废包装容器一个数字识别码；不替代危废类别和标签内容核查,GB 18597-2023《危险废物贮存污染控制标准》；HJ 1276-2022《危险废物识别标志设置技术规范》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,危废包装容器二维码近照；危废标签全景；扫码页面或系统记录；同批次包装称重记录,危废标签；二维码/数字识别码；称重记录；入库记录；危废管理平台记录,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,接受“平台截图 + 容器码照片”作为证据，使用地方官方危废平台或合规第三方数字系统的均予认可。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:4ca4b6798c39584beb46517e2e829115790f2ce150b1f050f68342359b7d1dd9
FIRST_S07_SPEC_HAZWASTE_FIVE_CODE_WEIGHING,P1,危废产生企业,危废五即一码,S07,solid_waste_hazardous_waste,危废产生后即时称重,核查危险废物产生后是否及时包装、称重并形成批次重量记录，现场重量、标签重量和台账重量应可相互追溯。 ETO批复口径：小微企业无独立电子称重系统时，允许以“现场台秤/地磅照片 + 纸质手工台账”作为替代证据，首筛可判 NEED_CONFIRM 交 ETO 复核。,称重记录应与容器码、入库记录、台账数量一致,GB 18597-2023《危险废物贮存污染控制标准》；HJ 1276-2022《危险废物识别标志设置技术规范》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,危废称重设备；称重单；标签重量字段；台账重量字段,称重记录；容器码；入库单；危废管理台账,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,小微企业无独立电子称重系统时，允许以“现场台秤/地磅照片 + 纸质手工台账”作为替代证据，首筛可判 NEED_CONFIRM 交 ETO 复核。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:4ca4b6798c39584beb46517e2e829115790f2ce150b1f050f68342359b7d1dd9
FIRST_S07_SPEC_HAZWASTE_FIVE_CODE_INBOUND_SCAN,P1,危废产生企业,危废五即一码,S07,solid_waste_hazardous_waste,危废入库扫码与贮存位置绑定,核查危废入库时是否扫码登记，系统记录应能对应贮存分区、容器码、危废代码、入库时间和经办人员。 ETO批复口径：若企业所在地区暂未强制推行扫码入库或企业仅有纸质记录，可降级为普通危废台账核查项，不作五即一码专项强扣分点。,入库扫码记录应覆盖现场在库危废容器,GB 18597-2023《危险废物贮存污染控制标准》；HJ 1276-2022《危险废物识别标志设置技术规范》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,危废暂存间分区；扫码入库记录；容器码与分区标识同框照片,扫码入库记录；分区标识；危废标签；库存台账,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,若企业所在地区暂未强制推行扫码入库或企业仅有纸质记录，可降级为普通危废台账核查项，不作五即一码专项强扣分点。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:4ca4b6798c39584beb46517e2e829115790f2ce150b1f050f68342359b7d1dd9
FIRST_S07_SPEC_HAZWASTE_FIVE_CODE_STORAGE_SIGN,P1,危废产生企业,危废五即一码,S07,solid_waste_hazardous_waste,危废贮存设施和分区识别标志,核查危废贮存设施、贮存分区、包装容器和标签是否按规范设置识别标志，五即一码不得替代现场标志和分区管理。 ETO批复口径：必须判定为不合格（FAIL 或需整改）。二维码属于数字化辅助工具，不能替代 GB 18597 和 HJ 1276 规定的物理警示标志和标签。,贮存设施、分区、容器和包装物均需有对应识别标志,GB 18597-2023《危险废物贮存污染控制标准》；HJ 1276-2022《危险废物识别标志设置技术规范》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,贮存设施门牌；分区标志；危废标签；二维码；包装容器全景,贮存设施标志；分区标志；危险废物标签；现场分区台账,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,必须判定为不合格（FAIL 或需整改）。二维码属于数字化辅助工具，不能替代 GB 18597 和 HJ 1276 规定的物理警示标志和标签。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:4ca4b6798c39584beb46517e2e829115790f2ce150b1f050f68342359b7d1dd9
FIRST_S07_SPEC_HAZWASTE_FIVE_CODE_TRANSFER_LEDGER,P1,危废产生企业,危废五即一码,S07,solid_waste_hazardous_waste,危废出库转移联单与容器码闭环,核查危废出库、转移联单、处置合同和容器码是否闭环一致，不得出现已转移但库存仍在、现场在库但系统无记录等异常。 ETO批复口径：允许系统数据更新与实际转移之间存在合理时间差，发现差异时设为 NEED_CONFIRM，由 ETO 结合联单时间判断是否闭环。,出库数量、联单数量、台账库存和容器码应闭环一致,GB 18597-2023《危险废物贮存污染控制标准》；HJ 1276-2022《危险废物识别标志设置技术规范》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,转移联单；出库扫码记录；库存台账；处置合同或接收证明,电子联单；出库记录；处置合同；库存台账；容器码记录,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,通过,允许系统数据更新与实际转移之间存在合理时间差，发现差异时设为 NEED_CONFIRM，由 ETO 结合联单时间判断是否闭环。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:4ca4b6798c39584beb46517e2e829115790f2ce150b1f050f68342359b7d1dd9
FIRST_S07_SPEC_HAZWASTE_CLASSIFIED_STORAGE,P1,危废产生企业,危废暂存规范,S07,solid_waste_hazardous_waste,危废分类分区贮存,核查不同类别、形态和污染防治要求的危险废物是否分类分区贮存，避免相互混放、混装或与一般固废混存。 ETO批复口径：若现场实际已分开摆放但划线或标识不清，应判为整改建议（完善标识）而非直接 FAIL（混存违法）。,不得与一般固废、生活垃圾或不相容危废混存,《中华人民共和国固体废物污染环境防治法》；GB 18597-2023《危险废物贮存污染控制标准》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,危废间分区全景；各分区标签；一般固废点位；不同危废包装同框照片,危废清单；贮存分区图；现场照片；危废管理台账,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,若现场实际已分开摆放但划线或标识不清，应判为整改建议（完善标识）而非直接 FAIL（混存违法）。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:23b88a99af605d2ccaa77d7b9ccc682db166a84022c578766fc47b5fedff0fe5
FIRST_S07_SPEC_HAZWASTE_COMPATIBILITY_SEPARATION,P1,危废产生企业,危废暂存规范,S07,solid_waste_hazardous_waste,不相容危废隔离贮存,核查酸碱、氧化还原、含水含油、易燃和反应性危废是否按相容性要求采取隔离、分区或独立包装措施。 ETO批复口径：必须在系统中提示 ESO 查验 MSDS 或危废成分清单，严禁仅凭名称判断相容性，证据需包含材料成分佐证。,不相容危险废物不得无隔离混放,《中华人民共和国固体废物污染环境防治法》；GB 18597-2023《危险废物贮存污染控制标准》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,酸碱废液分区；易燃危废区域；隔离托盘；包装密闭状态,危废成分清单；MSDS；分区记录；现场照片,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,必须在系统中提示 ESO 查验 MSDS 或危废成分清单，严禁仅凭名称判断相容性，证据需包含材料成分佐证。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:23b88a99af605d2ccaa77d7b9ccc682db166a84022c578766fc47b5fedff0fe5
FIRST_S07_SPEC_HAZWASTE_LEAKAGE_COLLECTION,P1,危废产生企业,危废暂存规范,S07,solid_waste_hazardous_waste,危废暂存防渗和泄漏收集,核查危废贮存场所是否具备防渗、防雨、防流失、围堰或托盘等泄漏收集措施，地面和包装不得有明显渗漏痕迹。 ETO批复口径：需区分情况：轻微历史污渍且已清理可提示通过；存在未清理的近期泄漏液或正在渗漏则直接 FAIL。,现场不得存在未收集的渗漏液或破损包装,《中华人民共和国固体废物污染环境防治法》；GB 18597-2023《危险废物贮存污染控制标准》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,防渗地面；围堰或托盘；泄漏应急物资；破损包装或渗漏点,现场设施照片；巡检记录；应急物资清单；整改记录,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,需区分情况：轻微历史污渍且已清理可提示通过；存在未清理的近期泄漏液或正在渗漏则直接 FAIL。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:23b88a99af605d2ccaa77d7b9ccc682db166a84022c578766fc47b5fedff0fe5
FIRST_S13_SPEC_HAZWASTE_EMERGENCY_MATERIALS,P1,危废产生企业,危废环境应急,S13,environmental_emergency_hazardous_waste,危废泄漏应急物资和演练记录,核查危废暂存间是否配置吸附棉、围堵物、收集桶、防护用品等应急物资，并有泄漏处置流程、培训或演练记录。 ETO批复口径：普通小微企业允许以“现场应急物资 + 简易上墙处置卡/告知牌”作为最低可接受证据，不强求大型演练报告。,应急物资应可用且与危废风险相匹配,《中华人民共和国固体废物污染环境防治法》；GB 18597-2023《危险废物贮存污染控制标准》；HJ 1259-2022《危险废物管理计划和管理台账制定技术导则》,应急物资柜；吸附材料；收集桶；个人防护用品；演练记录,应急预案；物资清单；培训记录；演练记录；现场照片,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,普通小微企业允许以“现场应急物资 + 简易上墙处置卡/告知牌”作为最低可接受证据，不强求大型演练报告。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:23b88a99af605d2ccaa77d7b9ccc682db166a84022c578766fc47b5fedff0fe5
FIRST_S07_SPEC_MEDWASTE_TEMP_STORAGE_SIGNAGE,P1,医疗机构,医疗废物暂存,S07,solid_waste_medical_waste,医废暂存间警示标志和专用包装,核查医疗废物暂存间、周转箱、包装袋和警示标志是否规范，医疗废物不得混入生活垃圾或一般固废。 ETO批复口径：适用同一套最低拍照点，但后台审核时按规模区分要求：医院必须有独立暂存间，小型诊所允许使用专用医废暂存柜或暂存箱。,医疗废物应使用专用包装、容器和警示标志,《医疗废物管理条例》；HJ 421-2008《医疗废物专用包装袋、容器和警示标志标准》；医疗废物集中处置技术规范（试行）,医废暂存间门牌；警示标志；黄色包装袋；周转箱；生活垃圾点位,医废分类收集记录；包装容器照片；暂存间照片；交接登记,"[""PASS"",""FAIL"",""NA"",""NEED_CONFIRM""]",,,,修改后通过,适用同一套最低拍照点，但后台审核时按规模区分要求：医院必须有独立暂存间，小型诊所允许使用专用医废暂存柜或暂存箱。,HUMAN_APPROVED_BASELINE,ETO_APPROVED_SPECIALIZED_INSPECTION_ITEMS_P1_2026-06-04,APPROVED_BASELINE,APPROVED_SPECIALIZED_INSPECTION_ITEMS_BASELINE,approved_baseline_export_ready,v1.0-approved-specialized-inspection-items,approved from specialized P1 candidate review; source candidate remains not runtime,NOT_FOR_RUNTIME_CANDIDATE_KB_ONLY,disabled,coco830/eco-semantic-knowledge-base,sha256:eae88f4c37691b8443edf16d605f187c78687cfb0740dd902867a2c45e3af032
