question_id,owner_decision,decision_status,implementation_required,evidence_required,runtime_boundary
OQ-001,NEED_RULE_FIX; CONFIRM_FIXED_AFTER_VERIFIED,PRELIMINARY_ETO_CONFIRMED,true,"GB/T 4754-2017原文截图；1512/1513修复前后candidate_rule_id对照；受影响企业清单如有",BLOCKS_RUNTIME
OQ-002,REJECT_INHERIT; NEED_EIA_CONFIRM_FOR_EXCEPTIONS,PRELIMINARY_ETO_CONFIRMED,true,"代表性小类不得默认外推规则；可外推/不可外推示例；受影响entry_no和industry_code",BLOCKS_RUNTIME
OQ-003,LIMIT_TO_221,PRELIMINARY_ETO_CONFIRMED,true,"名录第36条原文截图；221/222/223边界说明；被切断继承关系候选清单",BLOCKS_RUNTIME
OQ-004,LIMIT_TO_223; TRIGGER_BY_WASTEWATER; TRIGGER_BY_EXHAUST,PRELIMINARY_ETO_CONFIRMED,true,"223适用边界；废水/废气触发条件表；现场确认问题模板和照片要求",BLOCKS_RUNTIME
OQ-005,RECALL_ONLY,PRELIMINARY_ETO_CONFIRMED,true,"通用工序清单；证据要求表；禁止自动生成permit_type的系统逻辑说明",BLOCKS_RUNTIME
OQ-006,PROCESS_TRIGGER_MAY_APPLY; NEED_SITE_CONFIRM,PRELIMINARY_ETO_CONFIRMED,true,"3311及相关小类边界；工序触发证据链；受影响候选关系清单",BLOCKS_RUNTIME
OQ-007,CANDIDATE_ONLY,PRELIMINARY_PRODUCT_ETO_CONFIRMED,true,"章节映射表标记待审批；不接运行时声明；如未来映射需产品审批记录",BLOCKS_RUNTIME
V03_CONTEXT_SCOPE_001,RECALL_ONLY; APPLIES_ONLY_WITH_DIRECT_EVIDENCE,PRELIMINARY_ETO_CONFIRMED,true,"升级证据字段要求；人工审阅字段要求；示例关系ID",BLOCKS_RUNTIME
V03_PERMIT_TYPE_001,COLUMN_ONLY; CAN_PROMOTE_WITH_PERMIT_EVIDENCE; NEED_PERMIT_CONFIRM,PRELIMINARY_ETO_CONFIRMED,true,"target_management_condition与permit_type字段边界；正式permit_type确认材料白名单；禁止自动生成声明",BLOCKS_RUNTIME
V03_GENERAL_PROCESS_001,CONFIRM_BY_SITE; CONFIRM_BY_EIA; CONFIRM_BY_PERMIT,PRELIMINARY_ETO_CONFIRMED,true,"109-112四类通用工序证据清单；确认问题模板；适用/不适用样例",BLOCKS_RUNTIME
V03_SCENARIO_TEMPLATE_001,ADD_NEW_SCENARIO_FOR_TAILINGS_LAB_WASTE_INCINERATION_LANDFILL; DEFER_RESTAURANT_FUME,PRELIMINARY_ETO_PRODUCT_CONFIRMED,true,"新增/不新增理由；触发条件；证据要求；photo_points；首批现场素材",BLOCKS_RUNTIME
V03_ECOCHECK_RUNTIME_001,BLOCK_RUNTIME_CURRENT_STAGE; APPROVE_IMPLEMENTATION_BRANCH_ONLY_AFTER_GATES,PRELIMINARY_ETO_TECH_CONFIRMED,true,"审批记录；契约测试结果；回滚方案；版本manifest",BLOCKS_RUNTIME
V04_ENTRY_108_CONTEXT_001,CROSS_REFERENCE_ONLY,PRELIMINARY_ETO_CONFIRMED,true,"第108条承接策略；不生成全行业笛卡尔关系的技术理由",BLOCKS_RUNTIME
V04_HUMAN_REVIEW_EMPTY_001,DEFINE_FULL_REVIEW_FOR_INITIAL_AND_HIGH_RISK; DEFINE_SAMPLING_REVIEW_FOR_STABLE_LOW_RISK,PRELIMINARY_ETO_ESO_CONFIRMED,true,"审阅责任人名单；标签枚举；review_basis/evidence_refs规则；签字留痕样例",BLOCKS_RUNTIME
V04_SCORE13_PROMOTION_001,RAG_AND_REPORT_HINT; CHANGE_REQUIRES_APPROVAL,PRELIMINARY_PRODUCT_ETO_CONFIRMED,true,"二级语义字段表；报告展示策略；不改13维名称声明",BLOCKS_RUNTIME
V04_RUNTIME_APPROVAL_GATE_001,DESIGN_ONLY_CURRENT_STAGE; APPROVE_IMPLEMENTATION_BRANCH_AFTER_GATES,PRELIMINARY_PRODUCT_TECH_CONFIRMED,true,"二次审批记录；测试报告；rollback manifest；审计日志字段",BLOCKS_RUNTIME
V04_NEGATION_POLARITY_001,POLARITY_OK_AFTER_SCAN; NEED_RULE_FIX_IF_POSITIVIZED,PRELIMINARY_ETO_CONFIRMED,true,"否定词扫描结果；修复前后样例；单测或抽检记录",BLOCKS_RUNTIME
V04_DIVISION_CONTEXT_APPLIES_001,NO_DIRECT_APPLIES,PRELIMINARY_ETO_CONFIRMED,true,"0条纯DIVISION_CONTEXT->APPLIES检查结果；升级规则；审阅字段要求",BLOCKS_RUNTIME
V04_NOT_APPLY_BLOCKING_FLAGS_001,NOT_APPLY_OK_WITH_FLAGS; DOWNGRADE_TO_NEED_CONFIRM_WITHOUT_EVIDENCE,PRELIMINARY_ETO_CONFIRMED,true,"NOT_APPLY抽检结果；缺失blocking_flags清单；降级diff",BLOCKS_RUNTIME
